Ultrasonic Characterization Of Aluminum-Lithium Alloy Processing,Harold Berger,,Phase I,Industrial Quality Inc,69553,,LaRC
Access Methods For Interconnected Satellite/Terrestrial Network,Joshua Hayase,,Phase I,Information Systems International,69858,,JPL
Uv Radiation And Space Contamination Effects Test Chamber,John Anderes,,Phase I,Swales & Assoc Inc,69909,,GSFC
A Spectroradiometric Modeling Program For Remote Imaging Sensor Performance Analysis,Gerald Ressler,,Phase I,Ressler Assoc Inc,69856,,GSFC
Intersubband Submillimeter Laser,John Anderes,,Phase I,Swales & Assoc Inc,69975,,GSFC
Low Frequency (50-500 Mhz) Radar Sensor System For Measurement Of Terrestrial Vegetative Biomass,Patrick Johnson,,Phase I,American Electronics Inc,69998,,GSFC
An Efficient Enhancement/Compression System,Bao Ting Lerner,,Phase I,KT-Tech Inc,69636,,GSFC
Device Life Cycle Engineering Environment,Benjamin Newsom,,Phase I,Ramsearch Co,64000,,GSFC
A Spatial Surrogate System For Scientific Data Bases,Chieh-San Cheng,,Phase I,Global Science & Technology Inc.,64676,,GSFC
A High Speed Low-Cost Three-Dimensional Ranging System,Z. Jason Geng,,Phase I,Robotronics Inc,69962,,JSC
Rapid Prototyping Materials For Structural Metal And Ceramic Components,Sharon Fehrenbacher,,Phase I,Ceramic Composites Inc.,59911,,JPL
Improved Iridium Chemical-Vapor-Deposition For Rocket Thrusters,E.L. &quot;Ted&quot; Paquette,,Phase I,Refractory Composites Inc.,69215,,GRC
Bubble Tolerant Cold Plate With Multiple Flowthrough Pumps,Walter Bienert,,Phase I,Dynatherm Corp,69807,,GSFC
A Diode-Pumped Tunable Micro Pulse Laser For Water Vapor Lidar,Coorg Prasad,,Phase I,SCIENCE AND ENGINEERING SERVICES INC,69640,,GSFC
Advanced Extravehicular Mobility Unit Utilizing Loop Heat Pipe,Walter Bienert,,Phase I,Dynatherm Corp,68232,,ARC
Ultraviolet Imaging Spectrometer For Meteors,Richard Harms,,Phase I,Applied Research Corp,69871,,GSFC
VHF Radar Sensor System for Measurement of Terrestrial Vegetative Biomass,Patrick Johnson,,Phase II,American Electronics Inc,905579,,GSFC
WinRad: A Spectroradiometric Modeling Program for Remote Sensing Performance Analysis,Gerald Ressler,,Phase II,Ressler Assoc Inc,599542,,GSFC
Ultrasonic Characterization Of Aluminum-Lithium Alloy Processing,Harold Berger,,Phase II,Industrial Quality Inc,599950,,LaRC
A Spatial Surrogate System for Scientific Data Bases,Larry Roelofs,,Phase II,Global Science & Technology Inc.,577526,,GSFC
INTERACTIVE ARCHIVE FOR DATA STANDARDS,FRANK LOPINTO,,Phase I,Interactive Archives Inc,100000,Small Business Technology Transfer,GSFC
A DATA PUBLISHING SYSTEM (DPS) FOR NASA EARTH AND SPACE SCIENCE DATASETS,RAVINDRA KULKARNI,,Phase I,Grafikon Ltd,99950,Small Business Technology Transfer,GSFC
A DATA PUBLISHING SYSTEM (DPS) FOR NASA EARTH AND SPACE SCIENCE DATASETS,RAVINDRA KULKARNI,,Phase II,Grafikon Ltd,500000,Small Business Technology Transfer,GSFC
