Coupling Grid Adaption to an Implicit Navier-Stokes Solution Procedure,Kelton Peery,,Phase I,Amtec Engineering Inc,59999,,MSFC
Eddy Current Repulsion De-Icing Strip,Sam Smith,,Phase I,Electroimpact Inc,49998,,GRC
Lightning Protection Technology for Smaller General Aviation Aircraft,Ted Setzer,,Phase I,Stoddard-Hamilton Air Inc,49422,,LaRC
Lightning Protection Technology for Smaller Composite Material General Aviation Aircraft,Ted Setzer,,Phase II,Stoddard-Hamilton Air Inc,499833,,LaRC
Eddy Current Repulsion De-Icing Strip,Samuel Smith,,Phase II,Electroimpact Inc,499800,,GRC
High-Efficiency Low-Vibration Long-Life Stirling Cryogenic Pre-Cooler,Maurice White,,Phase I,Stirling Technology Co,49960,,GSFC
