Merlin Components for Real-Time Fault-Tolerant Distributed Computing,Ken Baker,,Phase I,Systran Federal Corp,69786,,LaRC
Improved Barrier Coatings for Continuous Silicon-Carbide Fibers in Ceramic Composites,Michael Dowell,,Phase I,Advanced Ceramics Corp,70000,,GRC
Integrated Optical Voltage Sensor,Judith Sriram,,Phase I,Srico Inc,70000,,GRC
Acoustic and Dynamic Fatique Analysis and Design of Aeropropulsion Structures,Seng Tan,,Phase I,Wright Materials Research Co.,69946,,GRC
Improved Anode Materials for the Solid-Oxide Fuel-Cell and Electrolyzer System,Benson Lee,,Phase I,Technology Management Inc,70000,,GRC
Software Tool to Design Thermal Barrier Coatings,B. Lynn Ferguson,,Phase I,Deformation Control Technology Inc,69012,,GRC
Work-Measurement Software for Low-Frequency Industrial Activities,William Proctor,,Phase I,IET Inc.,70000,,KSC
In Vitro Diagnostics by Optical Fourier Plane Analysis,Joyce Mersch,,Phase I,Point Source Inc,60621,,JSC
Regenerator-Displacer for a Stirling Micro-Refrigerator for Cold Electronics,Elaine Mather,,Phase II,Sunpower Inc.,599916,,GSFC
Improved Barrier Coatings for Continuous Silicon-Carbide Fibers in Ceramic Composites,Michael Dowell,,Phase II,Advanced Ceramics Corp,600000,,GRC
Integrated Optical Voltage Sensor,Judith Sriram,,Phase II,Srico Inc,600000,,GRC
Software Tool to Design Thermal Barrier Coatings,B. Lynn Ferguson,,Phase II,Deformation Control Technology Inc,261643,,GRC
Regenerator-Displacer for a Stirling Micro-Refrigerator for Cold Electronics,Elaine Mather,,Phase I,Sunpower Inc.,65507,,GSFC
Improved Anode Materials for the Solid-Oxide Fuel-Cell and Electrolyzer System,Benson Lee,,Phase II,Technology Management Inc,586944,,GRC
