Photogrammetric Coprocessor,Edison Straussfogel,,Phase I,Imagery Workmate Co,53684,,JSC
Diboride Composites Reinforced with Silicon-Carbide Platelets,Michael White,,Phase I,White Materials Engineering,69559,,ARC
A &quot;Leading Edge&quot; Ceramic Matrix Composite,Michael White,,Phase II,White Materials Engineering,566225,,ARC
