A Novel Hydrogen-Fueled Propulsion System,Michael Syracuse,,Phase I,Adroit Systems Inc.,47930,,LaRC
Portable Fiber-Optic Particulate Monitor,Joyce Brien,,Phase I,Research International Inc,48644,,JSC
Thermophotovoltaic Devices for High-Efficiency Thermal-to-Electric Conversion,Jany Xiang Fraas,,Phase I,JX Crystals,49960,,JPL
Improved Genetic Algorithm for Planning Scheduling and Optimization,Stephen McGrew,,Phase I,New Light Industries Ltd,49797,,JSC
Indium-Phosphide Solar Cells Grown on Zinc-Selenide-Coated Silicon Substrates,F. William Addis,,Phase I,Matrix Sciences Inc,49822,,GRC
Eliminating Glare in Space Crew Flight and Habitat Environments,Richard Ian-Frese,,Phase I,Advanced Environmental Research Group,49987,,JSC
Thirty-Percent-Efficient Tandem Solar Cell String for a Line-Focus Photovoltaic Concentrator Array,Jany Xiang Fraas,,Phase I,JX Crystals,49961,,GRC
High-Resolution High-Speed Spatial Light Modulator,Stephen McGrew,,Phase I,New Light Industries Ltd,50000,,ARC
Integral Stirling and Joule-Thomson Cryocooler for Low Temperature Applications,Roger Haines,,Phase I,Stirling Technology Co,49339,,GSFC
Multi-Hundred-Watt Stirling Technology Demonstrator for Space Power,Roger Haines,,Phase I,Stirling Technology Co,49977,,GRC
Fiber-Optic-Based Hydrogen Monitor,Joyce Brien,,Phase I,Research International Inc,49985,,KSC
Low-Temperature Stirling Cycle Refrigerator for Spacecraft Refrigeration Systems,Roger Haines,,Phase I,Stirling Technology Co,46297,,MSFC
Hybrid Structured-Unstructured Grid-Implicit Algorithm for Geometrically Complex Flow Fields,Donald Roberts,,Phase I,Amtec Engineering Inc,50000,,ARC
Low-Temperature Stirling Cycle Refrigerator for Spacecraft Refrigeration Systems,L. Barry Penswick,,Phase II,Stirling Technology Co,493375,,MSFC
Hybrid Structured-Unstructured Grid Implicit Algorithm for Geometrically Complex Flowfields,Donald Roberts,,Phase II,Amtec Engineering Inc,363597,,ARC
Fiber-Optic-Based Hydrogen Monitor,Joyce Brien,,Phase II,Research International Inc,481395,,KSC
High-Resolution High-Speed Spatial Light Modulator,Stephen McGrew,,Phase II,New Light Industries Ltd,498967,,ARC
Indium-Phosphide Solar Cells Grown on Zinc-Selenide-Coated Silicon Substrates,F. William Addis,,Phase II,Matrix Sciences Inc,497121,,GRC
Thirty-Percent-Efficient Tandem Solar Cell for a Line-Focus Photovoltaic Concentrator Array,Jany Xiang Fraas,,Phase II,JX Crystals,496160,,GRC
A Novel Hydrogen-Fueled Propulsion System,Michael Syracuse,,Phase II,Adroit Systems Inc.,634634,,LaRC
Integral Stirling and Joule-Thomson Cryocooler for Low-Temperature Application,Roger Haines,,Phase II,Stirling Technology Co,492584,,GSFC
