Nonscanning Climate Sensor,June Hoffman,,Phase II,Space Instruments Inc,498600,,GSFC
Trellis Coding with Continuous-Phase Modulation for Satellite-Based Land-Mobile Communications,Farrokh Abrishamkar,,Phase II,Technology Group,467000,,JPL
Positioning Beam Rider Module for Articulated Robot Manipulator, ,,Phase II,Cellulose Conversion Enterpr,500000,,GRC
Pyroelectric Belt Radiator,Randall Olsen,,Phase II,Chronos Research Laboratories Inc,467000,,JPL
Direct Metabolic Calorimetry System for Orbital Laboratories,David Connelly,,Phase II,GEOSCIENCE LTD,435707,,ARC
Co-Ordinated Control of a Payload Utilizing Multiple Manipulator Arms,Leonard Welsch,,Phase II,Odetics Inc,498764,,JSC
Composite Heat-Pipe Concepts Using Pitch-Graphite/Metal Composites,Olin Hudson,,Phase II,DWA Composite Specialties Inc,498256,,JSC
Surface Chemical Modification of Graphite Filaments to Improve Graphite-Thermoplastic Composites,Lynn Sheridan,,Phase II,PDA Engineering,479100,,LaRC
End Fittings for Hinged and Rigid Joints between Graphite-Aluminum Tubular Elements,Olin Hudson,,Phase II,DWA Composite Specialties Inc,497462,,JSC
Fully Automatic Guidance for Rotorcraft Nap-of-the-Earth Flight, ,,Phase II,Systems Technology Inc.,488347,,ARC
Systolic Ray Tracing Processor, ,,Phase II,Systolic Technology Inc,480000,,ARC
Fuel Atomization and Air-Fuel Interactions in a Turbulent Environment,W. D. Bachalo,,Phase II,Aerometrics Inc,379000,,GRC
Tether Deployment Monitoring System,George Howard,,Phase II,Anco Engineers Inc,464000,,MSFC
Membrane Process for Scrubbing Propellant Vapors,Richard Baker,,Phase I,Membrane Technology & Research Inc,49996,,KSC
Removal of Carbon Dioxide from Spacecraft Atmosphere by Selective Membranes,Richard Baker,,Phase I,Membrane Technology & Research Inc,49996,,JSC
Expert Aboard: an On-Board Consultant System for Satellite Repair, ,,Phase I,Microexpert Systems Inc,49950,,JSC
Improved Fracture Toughness in Metal-Matrix Composites,Faith Reynolds,,Phase I,MSNW Inc,48768,,LaRC
Extremely Sensitive Receiver for Laser Communications, ,,Phase I,Plesscor Optronics Inc,50512,,GSFC
Trellis Coding with Continuous-Phase Modulation for Satellite-Based Land-Mobile Communications,Farrokh Abrishamkar,,Phase I,Technology Group,49225,,JPL
Detonation-Wave Compression in Gas Turbines, ,,Phase I,Istar Inc,49985,,GRC
Advanced On-Chip Divider for Monolithic Microwave Voltage-Controlled Oscillators,Daniel Ch&#039;En,,Phase II,Microwave Monolithics Inc,499871,,JPL
Prototype Laser-Diode-Pumped Solid-State Laser Transmitters,Robert Mortensen,,Phase II,Lightwave Electronics Corp,479101,,JPL
