350-Degree-Centigrade 6H-Silicon-Carbide Thyristor,Jeffrey Vojta,,Phase I,Cree Research Inc,50000,,GRC
350-Degree-Centigrade 6H-Silicon-Carbide Thyristor,Jeffrey Vojta,,Phase II,Cree Research Inc,496389,,GRC
Parallel Computing Environment for Probabilistic Response Analysis of High-Temperature Composites,Lawrence Twisdale,,Phase I,Applied Research Assoc,49786,,GRC
