Unified-Cycle Engine Continuously Operable from Static to Hypersonic Conditions, ,,Phase I,L W Fleckenstein Inc,49862,,GRC
An Investigation of the Properties of Cooled Supersonic Flows, ,,Phase II,L W Fleckenstein Inc,464940,,GRC
