Anti Icing System Using Engine Waste Heat,Donald Ernst,,Phase I,k Technology a division of Thermacore Inc.,69994,,GRC
Failure And Damage Tolerance Of Composite Structures,B. Walter Rosen,,Phase I,Materials Sciences Corp,69950,,LaRC
Industry Standard Bearing Life Estimation Program,Joseph Poplawski,,Phase I,JV Poplawski & Assoc,68500,,GRC
Novel Materials For Thermal Management Of Spacecraft Systems,Thomas Cassin,,Phase I,k Technology a division of Thermacore Inc.,69973,,LaRC
Electric Field Strictors For Crygenic Acutators,David Pickrell,,Phase I,TRS Ceramics Inc.,69649,,LaRC
Turbulence Modeling Framework For Analysis Of Subsonic/Supersonic Jet Noise Reduction Concepts,Sanford Dash,,Phase I,Combustion Research and Flow Technology,70000,,LaRC
Increased Human Visual Cognition Throgh Interactive Hardware Rendering,Paul Diefenbach,,Phase I,Draw Computing Assoc Inc,54917,,JSC
Generalized Remote System For Pipe Inspection,David White,,Phase I,Redzone Robotics Inc,69924,,KSC
Smart Panospheric Imaging Device,David White,,Phase I,Redzone Robotics Inc,69803,,ARC
ANTI ICING SYSTEM USING ENGINE WASTE HEAT,Donald Ernst,,Phase II,k Technology a division of Thermacore Inc.,599902,,GRC
CO-PRODUCTION OF METALS AND OXYGEN FROM LUNAR RESOURCES,RUDOLF KELLER,,Phase I,Emec Consultants,100000,Small Business Technology Transfer,JSC
