Photoelectrochemical Fabrication of Spectroscopic Diffraction Gratings,A. C. Makrides,,Phase I,EIC Laboratories Inc.,50000,,GSFC
High-Performance Polyimide Film Using LaRC-TPI,Adi Guzdar,,Phase I,Foster-Miller Inc,49941,,LaRC
Ferrofluidic Enhancement of Contact Heat Transfer Coefficients,Adi Guzdar,,Phase I,Foster-Miller Inc,49971,,MSFC
Microchannel Plates in Advanced Wind Tunnel Instrumentation, ,,Phase I,Galileo Electro-Optics Corp,48000,,LaRC
Nonlinear Control Design for Turbofan Jet Engines,Raman Mehra,,Phase I,Scientific Systems Company Inc.,49991,,GRC
Light-Weight Lidar Mirrors, ,,Phase I,Morton International Inc,49976,,LaRC
Active Cancellation of Interior and Exterior Propeller-Driven Aircraft Noise,Richard Hayden,,Phase I,Technology Integration Inc,49500,,LaRC
Cryogenic Absolute Radiometer for Earth Radiation Sensing,Peter Foukal,,Phase I,Cambridge Research & Instrumentation Inc,50000,,LaRC
Three-Dimensional Dynamic Robot Vision System,Alper Caglayan,,Phase I,Charles River Analytics Inc.,49927,,JSC
High-Surface-Area Dual-Function Oxygen Electrocatalysts for Space Power,Byron David Green,,Phase I,Physical Sciences Inc.,49995,,GRC
Multi-Color Pyrometer for Materials Processing in Space,Byron David Green,,Phase I,Physical Sciences Inc.,49955,,JPL
Centrifugal Separating Pump for the Control of Two-Phase Heat Transport Circuit,Adi Guzdar,,Phase I,Foster-Miller Inc,49957,,JSC
Light-Weight Alumina-Aluminosilicate Thermal Protection Materials,Thomas Mix,,Phase I,Merix Corp,50000,,ARC
Local Oscillators for Millimeter and Submillimeter Radiometers,Willie Day,,Phase I,Millitech Corp,49997,,JPL
New Class of High-Performance Lithium Batteries,Fraser Walsh,,Phase I,ECO Energy Conversion,49135,,JPL
Large-Area Microchannel Plate Manufacture,Peter Graves,,Phase I,Detector Technology Inc,50000,,GSFC
Non-Contact High-Temperature Strain Gage,James Engel,,Phase I,Optra Inc.,49147,,GRC
On-Line Nutrient Analysis,Herman Scott,,Phase I,Aerodyne Research Inc.,49940,,ARC
Refractory-Metal Fibers Directly Cast from Melt,Ranjan Ray,,Phase I,Marko Materials Inc,50000,,GRC
Laser Measurement of Metastable Molecule-Surface Interactions,Byron David Green,,Phase I,Physical Sciences Inc.,49920,,JSC
Ordered-Polymer-Film Composites Applied to Fluid Deicing Systems for Aircraft,Adi Guzdar,,Phase I,Foster-Miller Inc,49971,,GRC
Photoelectrochemical Fabrication of Spectroscopic Diffraction Gratings,A. C. Makrides,,Phase II,EIC Laboratories Inc.,498548,,GSFC
High Performance LaRC-TPI Film,Adi Guzdar,,Phase II,Foster-Miller Inc,499280,,LaRC
Microchannel Plates in Advanced Wind Tunnel Instrumentation, ,,Phase II,Galileo Electro-Optics Corp,441000,,LaRC
Light-Weight Alumina-Aluminosilicate Thermal Protection Materials,Thomas Mix,,Phase II,Merix Corp,472758,,ARC
Large-Area Microchannel Plate Manufacture,Peter Graves,,Phase II,Detector Technology Inc,499950,,GSFC
Light-Weight Si-SiC Lidar Mirrors, ,,Phase II,Morton International Inc,457397,,LaRC
Active Control of Interior and Exterior Propeller Noise with Exterior Acoustic Sources,Richard Hayden,,Phase II,Technology Integration Inc,499000,,LaRC
Submillimeter Sources for Radiometry Using High-Power Indium-Phosphide Gunn Oscillators,Willie Day,,Phase II,Millitech Corp,439116,,JPL
Cryogenic Absolute Radiometer for Earth Radiation Sensing,Peter Foukal,,Phase II,Cambridge Research & Instrumentation Inc,242023,,LaRC
Spacecraft Thermal-Energy-Accommodation from Atomic Recombination,Byron David Green,,Phase II,Physical Sciences Inc.,469000,,JSC
Surface Fluorination of Polymers for Use in Space, ,,Phase I,Tekmat Corp,49650,,JPL
Corona Current Instruments for Electric Field Detection of Lightning Potential, ,,Phase I,Weather Corp,50000,,KSC
Dual-Function Perovskite Catalysts and Supports for Alkaline Regenerative and Pressurized Fuel Cells,Byron David Green,,Phase II,Physical Sciences Inc.,499795,,GRC
Multicolor Imaging Pyrometer for Materials Processing in Space,Byron David Green,,Phase II,Physical Sciences Inc.,489092,,JPL
Solid-State Instrumentation for Electric Field Detection of Lightning Potential, ,,Phase II,Weather Corp,492294,,KSC
Enhancement of Contact Heat Transfer Coefficients at Spacecraft Thermal and Structural Joints,Adi Guzdar,,Phase II,Foster-Miller Inc,499225,,MSFC
