200 Hp Ga Diesel Propulsion System,Robert Damon Spitzer,,Phase I,G.S. Engineering & Machine Co,68174,,GRC
Three-Dimensional Three Phase Combustion,Richard Farmer,,Phase I,Seca Inc,69985,,MSFC
THREE-DIMENSIONAL THREE PHASE COMBUSTION,Richard Farmer,,Phase II,Seca Inc,619956,,MSFC
