New Titanium Alloy,Jeffrey Clark,,Phase I,Technical Research Assoc Inc,46000,,GRC
Six-Component Robotic Force-Torque Sensor,Allen Grahn,,Phase II,Bonneville Scientific Inc,380031,,LaRC
Six-Component Robotic Force-Torque Sensor,Allen Grahn,,Phase I,Bonneville Scientific Inc,50000,,LaRC
