Beamsplitters for Far Infrared to Millimeter Wavelenghts,Verne Costich,,Phase I,Nemo Filters,49788,,ARC
Silicon Photodiodes with Integrated Thin-Film Filters for Bandpass in the Extreme Ultraviolet,Raj Korde,,Phase I,International Radiation Detectors,50000,,GSFC
High-Temperature Superconductor Yttria-Stabilized Zirconia Membrane Bolometer,Linda Capuano,,Phase I,Conductus Inc,49899,,GSFC
Aircraft-Based Fiber Optic Environmental Sensor Network,Ira Jeffrey Bush,,Phase I,Optiphase Inc,50000,,LaRC
Multifunctional Interface Coatings for Sapphire Monofilaments,George Reynolds,,Phase I,MSNW Inc,49908,,GRC
Fiber-Optic Sensor for Low-Level Humidity Measurement in the Upper Atmosphere,Patty Shaw,,Phase I,Physical Optics Corporation Applied Technology Division,49993,,ARC
Three-Dimensional Displays With 360 Degree View for Space Crew,Patty Shaw,,Phase I,Physical Optics Corporation Applied Technology Division,49939,,ARC
Oxidation-Resistant Coating of Diboride-Composite Thermal Protection System,Craig Ward,,Phase I,Ultramet,50000,,ARC
In Situ Particle Size Measurement Instrument for Aerosols in Microgravity,Donald Holve,,Phase I,Insitec Inc,50000,,ARC
Effective Porosity of Rayon-Based Carbon-Phenolics,Lynn Sheridan,,Phase I,PDA Engineering,49720,,MSFC
Probabilistic Process Modeling for the Consolidation of Titanium-Based Metal Matrix Composites,Dean Klivans,,Phase I,Alpha Star Corp,48230,,GRC
Spray Droplet and Grain Size Determination by AC-Susceptibility to Facilitate Adaptive Process Control,D. B. Thorson,,Phase I,Quantum Magnetics Inc,48203,,LaRC
Compact Spaceflight Solution Crystal-Growth System,James Trolinger,,Phase I,MetroLaser Inc.,49905,,GRC
Graphical Interactive Control Design and Implementation Environment,David Kulich,,Phase I,Integrated Systems Inc,48152,,LaRC
Cooled Porous Ceramic Vane for High Temperature Turbine Engine Components,Craig Ward,,Phase I,Ultramet,50000,,GRC
Low-Cost Compact Non-Explosive Pin Puller for Aerospace Applications,A. David Johnson,,Phase I,TiNi Alloy Co,49763,,GRC
Visible Laser Diodes Operating from 0.45 to 0.7 um,John Melton,,Phase I,Spectra Diode Laboratories Inc,49951,,GSFC
Dual Diode-Pumped Difference-Frequency Mixing Source of 3 to 5 um Radiation,John Melton,,Phase I,Spectra Diode Laboratories Inc,47738,,ARC
Multi-Sensory Feature Recognition Networks for Space Robotics,William Davis,,Phase I,Standard International Inc,49588,,JPL
Knowledge-Based System for Analyzing Technical Data,Robert Childs,,Phase I,Nielsen Engineering & Research Inc.,50000,,LaRC
Advanced Discretization Algorithm for Computational Fluid Dynamics Methods,Marnix F.E. Dillenius,,Phase I,Nielsen Engineering & Research Inc.,50000,,ARC
Autosteroscopic Video Monitor for Computer Graphics,John Miller,,Phase I,Perceptual Images,46745,,ARC
High-Temperature Oxidation-Resistant Fiber Coating for Toughened Ceramic-Matrix Composites,Wayne Steffier,,Phase I,Hyper-Therm High-Temperature Composites,48671,,GRC
Packaging of Opto-Electronic Integrated Circuits for Space-Based Applications,James Tyler,,Phase I,Optivision Inc,50000,,GSFC
Small Composite Combustion Chambers,Craig Ward,,Phase I,Ultramet,50000,,JSC
Embeddable Distributed Moisture Sensor for Nondestructive Inspection of Aircraft Lap Joints,Patty Shaw,,Phase I,Physical Optics Corporation Applied Technology Division,49997,,LaRC
Compact Real-Time Sensor for Non-Volatile Residues,Olive Lee,,Phase I,Gemfire Corp,50000,,GSFC
Optical Fiber Pre-Amplifier for Infrared Detectors,Howard Itow,,Phase I,Lightwave Electronics Corp,49487,,GSFC
