Silicon-Carbide-Matrix Thermal Protection Materials, ,,Phase I,Fiber Materials Inc.,49826,,ARC
Four-Dimensional Impact Resistant and Damage Tolerant Composites, ,,Phase I,Fiber Materials Inc.,49986,,LaRC
Ceramic-Fiber and Ceramic-Matrix Composites, ,,Phase II,Fiber Materials Inc.,471000,,ARC
