Log-Polar Binocular System,John Evans,,Phase I,Pyxis Corp.,49979,,JSC
Fabrication Of Ir Detector Arrays On Silicon Substrates By Pulsed Laser Deposition,David Hamblen,,Phase I,Advanced Fuel Research Inc.,49834,,JPL
Environment-Resistant Coatings For Ti-Alloys,Yogesh Mehrotra,,Phase I,Materials Technologies Corp,50000,,MSFC
Novel Catalytic Approach To Combustion,J. Kevin Burns,,Phase I,Precision Combustion Inc.,50000,,GRC
Evaluation Of Zinc-Oxygen Cells With Advanced Components,Bernard Baker,,Phase I,Energy Research Corp,48000,,JSC
Log-Hough Transform Feature Detector,John Evans,,Phase I,Pyxis Corp.,49900,,JSC
Log-Polar Binocular Vision System,John Evans,,Phase II,Pyxis Corp.,482100,,JSC
Novel Approach to Catalytic Combustion,J. Kevin Burns,,Phase II,Precision Combustion Inc.,496008,,GRC
Coatings for Titanium,Yogesh Mehrotra,,Phase II,Materials Technologies Corp,500000,,MSFC
