High-Performance Dinitramine-Based Monopropellants,Eric Rice,,Phase I,Orbital Technologies Corporation,70000,,GRC
Aerodynamic Materials Processing In Low-G Environments (Ample),Eric Rice,,Phase I,Orbital Technologies Corporation,70000,,MSFC
Transonic Micro-Turboject Propulsion System,Jeffrey Seymour,,Phase I,SWB Turbines,70000,,GRC
Miniature Resistive Regression And Ablation Sensor (Mirras),Eric Rice,,Phase I,Orbital Technologies Corporation,70000,,SSC
HIGH-PERFORMANCE DINITRAMINE-BASED MONOPROPELLANTS,Eric Rice,,Phase II,Orbital Technologies Corporation,600000,,GRC
Miniature Resistive Regression and Ablation Sensor,Eric Rice,,Phase II,Orbital Technologies Corporation,600000,,SSC
