Repair Coating for Cryogenic Transfer Lines,Nancy Stoller,,Phase I,TPL Inc.,50000,,KSC
Combustion Diagnostics for Microgravity Research Using Near-Infrared Diode Lasers,Alan Stanton,,Phase I,Southwest Sciences Inc.,49991,,GRC
Combustion Diagnostics for Microgravity Research Using Near-Infrared Diode Lasers,Alan Stanton,,Phase II,Southwest Sciences Inc.,497755,,GRC
