Airborne Multispectral Polarization Imager,Charles Stanich,,Phase I,Daedalus Enterprises Inc,49887,,ARC
Realistic Virtual Environment Workstation,Judith Francis,,Phase I,KMS Fusion Inc,49545,,JSC
Compact Solid-State Range Sensor with Millimeter Depth Resolution,Philippe Bado,,Phase I,MXR Inc,48453,,JSC
Holographic Depth Contouring,Charles Stanich,,Phase I,Daedalus Enterprises Inc,50000,,SSC
Airborne Multispectral Polarization Imager,Charles Stanich,,Phase II,Daedalus Enterprises Inc,500000,,ARC
Holographic Depth Contouring,Charles Stanich,,Phase II,Daedalus Enterprises Inc,500000,,SSC
