Miniature Fiber-Optic-Coupled Range Scanner,Robert Cordes,,Phase I,Coleman Research Corp,49773,,LaRC
Production of High-Purity Liquid Amonia,Robert Scaringe,,Phase I,Mainstream Engineering Corporation,49998,,KSC
Low-Voltage Spacebourne Q-Switch,Madhu Acharekar,,Phase I,Schwartz Electro-Optics Inc,49902,,GSFC
Pultruded Structural Composites having High Flammability Resistance and Electrical Conductivity,Richard Kent Spears,,Phase I,Largo Scientific Inc,49970,,KSC
MIMD-Embedded Data-Processor Architecture for Spacecraft Computers,Jeffrey Ernst,,Phase I,Aeronix Inc.,49669,,LaRC
Intelligent Pen-Based Engineering Notebook,Edward Comer,,Phase I,Software Productivity Solutions Inc,49489,,LaRC
An Innovative Approach for Solvent Selection,Robert Scaringe,,Phase I,Mainstream Engineering Corporation,44838,,SSC
Miniature Fiber-Optic-Coupled Range Scanner,Robert Cordes,,Phase II,Coleman Research Corp,970240,,LaRC
Sensor Technology for Robotic Obstacle Avoidance,Daniel Wegerif,,Phase I,Merritt Systems Inc,50000,,KSC
Two-Gigahertz-Bandwidth 2000-Channel Acousto-Optic Bragg Cell and Spectrometer,Dennis Pape,,Phase I,Photonic Systems Inc,49526,,JPL
Novel Moldable Antenna Concept for Personal Communications,Keith Ex,,Phase I,UBC Inc,49942,,JPL
Adaptive Image-Data Compression for Electronic Still-Photography Systems,Gerald Smith,,Phase I,Electronic Imagery Inc,50000,,JSC
Sensor Technology for Robotic Obstacle Avoidance,Daniel Wegerif,,Phase II,Merritt Systems Inc,491335,,KSC
