An Assessment Of The Thermostructural Performance And Feasibility Of Using Rotated Ply Stacking For Carbon-Carbon Cloth Based Nozzle Components,Lynn Sheridan,,Phase I,PDA Engineering,49791,,MSFC
Ideal Flying Qualities For Aero-Space Craft,Michael Larkin,,Phase I,Systems Control Technology Inc,49901,,LaRC
Gas Turbine Noise Reduction,John Kelly,,Phase I,Altex Technologies Corp,49676,,GRC
Improved Solar Cell Cover-Glasses Coated By Low Pressure Chemical Vapor Deposition,James Brosnan,,Phase I,Deposition Sciences Inc,49925,,GSFC
Focal Plane Image Compression In The Charge Domain,Michael Revine,,Phase I,Altadena Instruments Corp,50000,,LaRC
High Spatial Resolution E X B Magnetic Field Probe,Joseph Orens,,Phase I,Berkeley Research Assoc Inc,49301,,GSFC
Spacecraft Thermal Management Using Metal Matrix Composite,Albin Nowitzky,,Phase I,Composite Applications & Procedures,50000,,GSFC
Gaas Mmic Sampling Mixer For Frequency Conversion,Allen Podell,,Phase I,Pacific Monolithics Inc,49861,,JPL
Finite Element Heat Transfer Analysis System For Simulation Of Flight Vehicles,C. J. Parekh,,Phase I,Engineering Systems Simulation,50000,,ARC
Decision-Theoretic Control of Artificial Intelligence Scheduling Systems,Andrew Mayer,,Phase I,Thinkbank Inc,49990,,ARC
Detector Arrays From The Direct Deposition Of Superconducting Films On Diamonds,Cynthia Carney Todd,,Phase I,Talandic Research Corp,49975,,GSFC
High Performance Textile Grade Micro-Laminate Fibers,David Heroux,,Phase I,Delta G Corp,49789,,GRC
Quasi-Optical Solid-State Multiplier Sources To 3000 Ghz,W. A. Peebles,,Phase I,Innovative Research & Technology,49825,,JPL
Feedback Pseudomorphic Hemt Low Noise Amplifiers For Low Cost Receivers,Larry Nevin,,Phase I,Pacific Coast Eng & California Probe,43778,,GRC
Aspheric Surface Figuring Using Plasma Assisted Chemical Etching,Kenneth Kalka,,Phase I,OCA Applied Optics Inc,48912,,MSFC
Time Warp Concurrency Control For Database Systems,Calvin Buzzell,,Phase I,Integrated Parallel Technology Inc,50000,,JPL
Light-Weight Flexible Thin Film Solar Cells For Space Applications,Vijay Kapur,,Phase I,International Solar Electric Technology,49109,,GRC
General-Purpose Biomedical Telemetry System,Eph Konigsberg,,Phase I,Konigsberg Instruments Inc,49997,,KSC
Carbon-Carbon/Refractory Metal Heat Pipes For Leading Edge Cooling On Reusable Hypersonic Vehicles,Robert Tuffias,,Phase I,Ultramet,47900,,LaRC
Controlled Nucleation Of Protein Crystal Growth,Paul Sclichta,,Phase I,Crystal Research Inc.,49614,,MSFC
Large Aperture Holographic Optical Elements For Scanning Telescopes,Patty Shaw,,Phase I,Physical Optics Corporation Applied Technology Division,49983,,GSFC
Portable Imaging Spectroradiometer For Ground Truth &amp; Earth Remote Sensing,Linda Papermaster,,Phase I,Concept Development Assoc,49813,,SSC
In-Flight Flow Velocity Sensor,Olive Lee,,Phase I,Gemfire Corp,49000,,ARC
External Phase Or Amplitude Modulator For Lasers,James Francis,,Phase I,Lightwave Electronics Corp,49879,,GSFC
Improved Fiber Optic Temperature Sensors for Propulsion Systems,James Bechtel,,Phase I,Tacan Corp,49889,,GRC
