WAN DBMS SEARCH ENGINE INTERFACE TO SCIENTIFIC DATA FORMATS,PARVIZ PARHAMI,,Phase I,Sara Inc,70000,,JPL
A NOVEL NON-MECHANICAL TWO-AXIS BEAM STEERING TECHNOLOGY,PATTY SHAW,,Phase I,Physical Optics Corporation Applied Technology Division,69994,,JPL
HIGH SPEED NDE USING SHEARING INTERFEROMETER &amp; GENETIC ALGORITHM,PATTY SHAW,,Phase I,Physical Optics Corporation Applied Technology Division,69994,,LaRC
MICROCHIP CAPILLARY ELECTROPHORESIS SENSOR,OLIVE LEE,,Phase I,Gemfire Corp,70000,,JSC
ADAPTIVE FAULT TOLERANCE FOR AUTONOMOUS SPACECRAFT,HERBERT HECHT,,Phase I,SOHAR INCORPORATED,70000,,JPL
INTELLIGENT &amp; VIRTUAL REALITY AGENTS FOR ROBOTICS PLANNING,HERBERT HECHT,,Phase I,SOHAR INCORPORATED,70000,,JPL
FLOW CONTROLLER ON A CHIP,ERIC STRAUSS,,Phase I,TiNi Alloy Co,69932,,KSC
CMOS ON-FOCAL-PLANE DIGITAL READOUT,WILLIAM MANDL,,Phase I,AMAIN ELECTRONICS COMPANY,69627,,JPL
LIGHTWEIGHT DIMENSIONALLY STABLE PRINTED WIRING BOARDS,JOSEPH GARIBOTTI,,Phase I,Applied Material Technologies Inc,68949,,GRC
LOW COST GROUND TERMINAL FOR SATELLITE LASER COMMUNICATIONS,ERIC KOREVAAR,,Phase I,Astroterra Corp,70000,,JPL
SURFACE NAVIGATION AND SIMULATION SYSTEM,DAVID MAZAIKA,,Phase I,International Space Enterprises,70000,,JPL
LARGE AREA APD&#039;S WITH HIGH QUANTUM EFFICIENCY AT 1.06 MICRONS,PATRICK HOLMES,,Phase I,Advanced Photonix,69993,,GSFC
MULTI-BY-PASS CONCENTRIC PULSE TUBE COOLER,ALI KASHANI,,Phase I,Atlas Scientific,69974,,ARC
CDZNTE POSITION-SENSITIVE X-RAY/GAMMA RAY DETECTORS,JACK BUTLER,,Phase I,Digirad,69870,,GSFC
DEVELOPMENT OF A RESONANT INFRARED PHOTOCONDUCTOR WITH UNIT QUANTUM EFFICIENCY,JAM FARHOOMAND,,Phase I,TechnoScience Corporation,70000,,ARC
LASER VELOCIMETRY TO SIMULTANEOUSLY MEASURE MULTIPLE COMPONENTS AT MULTI-POINTS,HUNG TAN,,Phase I,OSP Digital Inc,69775,,GRC
AIRPORT VISUALIZATION AND OPERATIONS SYSTEM TM (AVOS TM),HERMAN REDIESS,,Phase I,Paradigm 2000,70000,,ARC
LARGE FORMAT CAMERA ON A CHIP,SABRINA KEMENY,,Phase I,Photobit Corporation,69922,,JSC
ACTIVE PIXEL SENSOR STAR TRACKER,SABRINA KEMENY,,Phase I,Photobit Corporation,52928,,GSFC
ULTRAVIOLET ACOUSTO-OPTIC TUNABLE FILTER,PHOEBE CHANG,,Phase I,Aurora Assoc,70000,,GSFC
AVALANCHE PHOTODIODE ARRAY MULTI-CHANNEL DETECTION FOR ALTIMETRY LIDAR,ERIC CURTIS,,Phase I,OCA Applied Optics Inc,69987,,GSFC
ULTRA-LIGHTWEIGHT MIRROR USING C/SIC SUBSTRATE,ERIC CURTIS,,Phase I,OCA Applied Optics Inc,68770,,MSFC
ADAPTIVE-PIXEL SENSORS FOR AUTONOMOUS OPTICAL NAVIGATION,ERIC CURTIS,,Phase I,OCA Applied Optics Inc,67032,,JPL
ADAPTIVE CONTROL SYSTEM FOR ACTIVE VIBRATION ISOLATION,WARREN GIBSON,,Phase I,CSA Engineering Inc.,69000,,JPL
SQUID NMR IMAGING FOR MATERIALS NDE,TRACEY WRIGHTSON,,Phase I,Quantum Magnetics Inc,69170,,LaRC
HIGHLY SURVIVABLE MULTI-FIBER OPTIC INTERCONNECTION NETWORKS,JAMES TYLER,,Phase I,Optivision Inc,70000,,JPL
PROGESSIVE FRACTURE OF BRAIDED COMPOSITE TURBOMACHINERY STRUCTURES,KAY MATIN,,Phase I,Alpha Star Corp,70000,,GRC
HIGH PRECISION CONTROL AND HEALTH MONITORING OF ADVANCE SPACECRAFT,CHING-FANG LIN,,Phase I,American GNC Corporation,69992,,JPL
