Non-Flight Equipment Removal Verification Employing IR, ,,Phase I,Energy Optics Inc,50000,,KSC
Generic Artificial-Intelligence Expert System for Space Station Applications, ,,Phase I,Applications Research Corp,49864,,MSFC
